,Avg. sheep,Avg. wolves
1305,189.73,74.72
1306,230.6,64.74
1307,156.96,56.96
1308,201.71,97.89
1309,156.22,50.42
1310,161.15,51.15
1311,191.45,56.27
1312,174.1,57.4
1313,184.04,88.99
1314,172.82,44.73
1315,153.41,59.72
1316,241.53,28.0
1317,229.65,41.99
1318,195.18,27.18
1319,199.26,28.71
1320,145.79,113.85
1321,127.94,19.09
1322,230.71,39.91
1323,77.97,46.07
1324,75.3,41.44
1325,87.52,36.34
1326,115.29,17.87
1327,128.11,77.46
1328,89.57,39.49
1329,79.63,37.3
1330,162.25,45.28
1331,132.25,70.42
1332,127.48,54.71
1333,141.09,45.53
1334,177.21,42.86
1335,153.42,157.19
1336,127.83,48.53
1337,218.95,186.2
1338,216.4,133.88
1339,185.6,182.36
1340,172.1,167.38
1341,166.0,35.52
1342,197.53,145.56
1343,242.5,145.8
1344,128.05,171.88
1345,121.25,154.53
1346,128.05,171.88
1347,164.39,281.54
1348,114.45,186.73
1349,125.17,148.61
1350,164.82,142.25
1351,152.52,208.61
1352,145.45,209.64
1353,134.75,148.51
1354,161.36,210.46
1355,177.38,284.91
1356,139.23,216.42
